"Avg_mode_power","Screen_Size_Extracted"
14.83,"24"
79.65,"58"
78.97,"55"
83,"50"
260.42,"75"
72,"500"
28,"320"
117,"60"
308,"65"
308,"65"
308,"65"
440,"85"
440,"85"
440,"85"
396,"85"
396,"85"
396,"85"
297,"65"
297,"65"
297,"65"
132,"55"
132,"55"
132,"55"
148,"55"
148,"55"
148,"55"
192,"85"
192,"85"
192,"85"
165,"75"
165,"75"
165,"75"
108,"50"
108,"50"
108,"50"
198,"75"
198,"75"
198,"75"
69,"43"
69,"43"
69,"43"
91,"50"
91,"50"
91,"50"
84,"55"
84,"55"
84,"55"
94,"58"
94,"58"
94,"58"
116,"65"
116,"65"
116,"65"
143,"75"
143,"75"
143,"75"
93.528,"652"
77.2,"55"
105.75,"65"
196.41,"75"
46.6,"42"
132.4,"65"
104,"65"
412,"85"
93.528,"65"
203,"65"
203,"65"
203,"65"
91,"50"
91,"50"
91,"50"
129.96,"65"
26,"323"
76.37,"58"
58,"437"
105.8,"587"
134.4,"657"
106,"55"
125,"65"
200,"83"
200,"83"
258,"85"
258,"85"
258,"85"
99.75,"70"
70,"43"
70,"43"
70,"43"
76,"48"
76,"48"
80.2,"55"
80.2,"55"
80.2,"55"
80.2,"55"
80.2,"55"
80.2,"55"
128,"50"
91.4,"65"
91.4,"65"
91.4,"65"
91.4,"65"
91.4,"65"
91.4,"65"
91.4,"65"
69,"43"
91,"50"
201.04,"75"
84,"55"
116,"65"
143,"75"
201.04,"75"
98.85,"580"
117,"65"
117,"65"
117,"65"
155,"75"
155,"75"
155,"75"
78.8,"55"
78.8,"43"
118.7,"55"
147.1,"65"
239.8,"85"
107.54,"65"
61.76,"50"
75.31,"55"
151.11,"316"
205.62,"55"
168.2,"82"
135.48,"70"
25.93,"32"
96.71,"55"
203.37,"311"
247,"75"
350,"86"
162,"75"
95.2,"50"
134.4,"65"
78.8,"55"
78.8,"55"
78.8,"55"
214.72,"86"
214.72,"86"
125.66,"75"
214.72,"86"
214.72,"86"
214.72,"86"
173,"65"
206,"75"
221,"85"
106.5,"58"
212,"86"
251.06,"65"
77,"50"
77,"50"
171,"75"
80.2,"55"
220,"65"
220,"65"
220,"65"
242,"75"
242,"75"
242,"75"
192,"75"
173.3,"75"
57,"55"
70.4,"65"
111.93,"55"
151.23,"65"
22,"24"
284.19,"75"
72,"50"
95,"55"
138,"65"
119.45,"65"
57.75,"43"
153,"70"
33,"32"
31.27,"40"
227.42,"85"
191.4,"75"
28,"32"
28,"32"
228.29,"85"
56.97,"507"
25.21,"32"
25.21,"32"
25.21,"32"
25.21,"32"
59.24,"43"
59.24,"43"
59.24,"43"
59.24,"43"
38.82,"40"
38.82,"40"
38.82,"40"
38.82,"40"
63.94,"557"
14.61,"19"
14.61,"19"
79,"43"
95,"50"
113,"55"
156,"65"
180,"75"
241,"86"
135,"65"
66.16,"50"
63.45,"43"
81.49,"55"
107.27,"65"
106.5,"58"
93.82,"50"
120,"65"
164,"65"
220,"65"
106.97,"75"
91.7,"657"
149.34,"70"
305.2,"85"
78.3,"50"
102.9,"58"
125,"65"
125,"65"
140.1,"70"
169.86,"75"
104.9,"55"
115.41,"58"
93.82,"50"
198,"55"
43,"42"
28,"32"
122.59,"65"
178,"70"
157.82,"70"
128.8,"60"
33.52,"32"
28,"32"
65,"43"
95.274,"65"
225,"85"
225,"85"
270.3,"85"
84,"55"
104,"65"
195,"75"
69,"43"
78,"50"
194.11,"65"
16.1448,"19"
88,"55"
88,"55"
117,"65"
117,"65"
155,"75"
155,"75"
176,"85"
176,"85"
82,"50"
72,"43"
131.33,"75"
50.909,"43"
106.02,"55"
76.37,"582"
47.72,"42"
92.33,"55"
92.33,"55"
92.33,"55"
172.02,"85"
135,"70"
135,"70"
135,"70"
75.43,"50"
75.43,"50"
75.43,"50"
139.4,"65"
103.3,"55"
59,"40"
